"Date","Price","Open","High","Low","Vol.","Change %"
"11-06-2007","5,008.59","5,008.59","5,008.59","5,008.59","","0.01%"
"08-06-2007","5,007.87","5,007.87","5,007.87","5,007.87","","-0.79%"
"07-06-2007","5,047.71","5,047.71","5,047.71","5,047.71","","-0.44%"
"06-06-2007","5,069.99","5,069.99","5,069.99","5,069.99","","-2.00%"
"05-06-2007","5,173.61","5,173.61","5,173.61","5,173.61","","0.41%"
"04-06-2007","5,152.36","5,152.36","5,152.36","5,152.36","","-0.70%"
"01-06-2007","5,188.58","5,188.58","5,188.58","5,188.58","","0.05%"
"31-05-2007","5,185.95","5,185.95","5,185.95","5,185.95","","1.09%"
"30-05-2007","5,130.23","5,130.23","5,130.23","5,130.23","","-1.02%"
"29-05-2007","5,182.87","5,182.87","5,182.87","5,182.87","","0.86%"
"28-05-2007","5,138.56","5,138.56","5,138.56","5,138.56","","0.20%"
"25-05-2007","5,128.42","5,128.42","5,128.42","5,128.42","","1.03%"
"24-05-2007","5,076.21","5,076.21","5,076.21","5,076.21","","-0.97%"
"23-05-2007","5,126.07","5,126.07","5,126.07","5,126.07","","-0.75%"
"22-05-2007","5,164.58","5,164.58","5,164.58","5,164.58","","0.40%"
"21-05-2007","5,143.81","5,143.81","5,143.81","5,143.81","","1.10%"
"18-05-2007","5,087.80","5,087.80","5,087.80","5,087.80","","-0.12%"
"17-05-2007","5,093.90","5,093.90","5,093.90","5,093.90","","1.17%"
"16-05-2007","5,034.79","5,034.79","5,034.79","5,034.79","","1.23%"
"15-05-2007","4,973.65","4,973.65","4,973.65","4,973.65","","-0.34%"
"14-05-2007","4,990.55","4,990.55","4,990.55","4,990.55","","1.42%"
"11-05-2007","4,920.88","4,920.88","4,920.88","4,920.88","","0.24%"
"10-05-2007","4,908.99","4,908.99","4,908.99","4,908.99","","-0.31%"
"09-05-2007","4,924.08","4,924.08","4,924.08","4,924.08","","0.06%"
"08-05-2007","4,921.30","4,921.30","4,921.30","4,921.30","","-0.83%"
"07-05-2007","4,962.52","4,962.52","4,962.52","4,962.52","","-0.15%"
"04-05-2007","4,970.00","4,970.00","4,970.00","4,970.00","","-0.81%"
"03-05-2007","5,010.44","5,010.44","5,010.44","5,010.44","","1.54%"
